순서	상태	할 일	날짜	시간	예상 시간	시간대	반복	메모	원문	설명	완료 기준	실행 메모	항목 주의	계획 주의	자료	계획 원문 이름	계획 원문 URL
11	미완료	자동이체 해지 또는 변경 확인하기	2031-08-29	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
12	미완료	이사 당일 사용할 물건 따로 포장하기	2031-08-29	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
13	미완료	관리사무소에 이사 시간과 차량 동선 공유하기	2031-08-29	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363	공동주택은 엘리베이터 보양, 주차 위치, 사다리차 가능 여부를 미리 맞춰야 합니다.						이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
14	미완료	이사 업체와 일정 최종 확인하기	2031-08-31	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
15	미완료	이체 한도 증액 확인하기	2031-08-31	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
16	미완료	귀중품과 중요 서류 별도 보관하기	2031-08-31	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
17	미완료	냉장고 음식과 쓰레기 최종 정리하기	2031-08-31	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
18	미완료	전기/가스/수도/관리비 정산하기	2031-09-01	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
19	미완료	이삿짐 분실/파손 확인하기	2031-09-01	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
20	미완료	계량기와 집 상태 사진 남기기	2031-09-01	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363	전기, 가스, 수도 계량기와 주요 하자 사진을 남겨 정산과 분쟁 확인에 활용합니다.						이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
21	미완료	열쇠, 출입카드, 주차등록 인수인계하기	2031-09-01	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
22	미완료	전입신고와 확정일자 확인하기	2031-09-01	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363	전입신고와 임대차 계약 확정일자 처리 필요 여부를 같은 날 확인합니다.	전입신고 접수 상태와 확정일자 부여 여부를 각각 확인했다.				"{""label"":""정부24 전입신고"",""url"":""https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13100000016""}
{""label"":""인터넷등기소"",""url"":""https://www.iros.go.kr""}"	이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
23	미완료	정부24 전입신고 처리 결과 확인하기	2031-09-02	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363	정부24 또는 주민센터에서 전입신고 처리 상태와 세대주 확인 필요 여부를 확인합니다.	처리 완료 또는 보완 필요 상태를 확인하고 캡처/메모를 남겼다.				"{""label"":""정부24"",""url"":""https://www.gov.kr""}"	이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
24	미완료	임대차 계약 확정일자 부여 여부 확인하기	2031-09-02	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363	임대차 계약서 확정일자 신청 여부와 부여일을 별도로 확인합니다.	확정일자 부여일과 계약서 보관 위치를 기록했다.				"{""label"":""인터넷등기소"",""url"":""https://www.iros.go.kr""}"	이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
